Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
17.11.2025,12:42:2.314,20.391,26.661,19.165,3.093,250.0,250.0,76.814,43.948,8.735,68.526,47.698,29.574,18.124,29.221,116.067,33.364,82.703,5.470,0.000,0.000,0.250,0.000,31.0,
17.11.2025,12:42:3.314,14.953,25.462,17.988,3.048,250.0,250.0,73.970,21.832,8.740,68.481,47.663,29.551,18.112,29.198,5.720,0.582,5.138,5.138,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:4.314,23.110,27.003,19.537,3.035,250.0,250.0,77.019,21.832,8.741,68.240,47.527,29.467,18.060,29.115,5.798,0.600,5.198,5.198,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:5.311,21.750,26.340,18.823,3.061,250.0,250.0,77.019,21.794,8.741,68.240,47.527,29.467,18.060,29.115,5.798,0.600,5.198,5.198,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:6.309,19.032,24.500,17.019,3.029,250.0,250.0,75.862,15.920,8.691,45.818,33.729,20.922,12.807,20.666,5.719,0.589,5.130,5.130,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:7.310,40.782,25.105,17.692,3.021,250.0,250.0,74.602,22.185,8.740,69.749,48.452,30.044,18.408,29.692,5.786,0.597,5.189,5.189,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:8.309,19.032,25.544,18.029,3.034,250.0,250.0,76.904,45.387,8.740,68.005,47.372,29.369,18.003,29.016,123.952,34.437,89.515,5.461,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:9.306,25.829,25.547,18.093,3.026,250.0,250.0,73.346,21.745,8.754,68.017,47.380,29.386,17.994,29.034,5.828,0.606,5.222,5.222,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:10.305,17.672,24.547,17.146,3.007,250.0,250.0,72.789,32.198,8.697,54.207,38.900,24.122,14.778,23.829,5.764,0.618,5.146,145.915,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:11.314,20.391,24.355,16.914,3.002,250.0,250.0,76.161,21.667,8.733,67.744,47.207,29.270,17.937,28.917,5.825,0.636,5.189,5.214,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:12.313,16.313,28.507,21.045,3.033,250.0,250.0,76.875,21.944,8.742,68.559,47.718,29.591,18.127,29.226,6.158,0.672,5.486,5.163,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:13.314,17.672,26.727,19.260,3.029,250.0,250.0,70.098,22.123,8.768,69.496,48.301,29.951,18.350,29.599,5.772,0.651,5.121,5.222,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:14.311,17.672,28.216,20.679,3.026,250.0,250.0,77.223,29.365,8.779,67.710,47.220,29.279,17.941,28.926,43.622,16.291,27.331,6.556,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:15.304,17.672,27.446,20.003,3.025,250.0,250.0,73.887,22.349,8.791,70.263,48.807,30.259,18.548,29.894,5.850,0.644,5.206,5.231,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:16.310,17.672,25.701,18.216,3.044,250.0,250.0,77.761,25.561,8.754,68.108,47.422,29.411,18.011,29.058,24.775,6.889,17.886,5.294,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:17.309,19.032,25.247,17.782,3.042,250.0,250.0,73.535,21.927,8.707,68.777,47.820,29.655,18.165,29.302,5.827,0.638,5.189,5.189,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:18.304,23.110,29.016,21.484,3.057,250.0,250.0,77.115,70.315,8.732,82.078,56.023,34.744,21.279,34.318,6.481,0.970,5.511,453.010,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:19.308,29.907,27.284,19.766,3.029,250.0,250.0,73.375,22.178,8.758,69.374,48.248,29.922,18.326,29.557,6.151,0.813,5.338,5.291,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:20.305,20.391,26.572,19.120,3.049,250.0,250.0,73.839,21.552,8.766,67.317,46.959,29.121,17.838,28.769,5.778,0.589,5.189,5.189,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:21.309,29.907,25.463,18.022,3.008,250.0,250.0,76.478,32.298,8.749,64.698,45.339,28.115,17.224,27.775,62.398,23.247,39.151,6.283,0.001,0.000,0.000,0.000,31.0,
17.11.2025,12:42:22.304,25.829,25.650,18.185,3.046,250.0,250.0,72.908,21.891,8.765,68.359,47.609,29.526,18.083,29.173,6.047,0.695,5.352,5.299,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:23.318,21.750,25.952,18.510,2.995,250.0,250.0,73.844,21.952,8.776,68.803,47.883,29.693,18.190,29.340,5.809,0.595,5.214,5.214,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:24.304,20.391,25.789,18.317,3.042,250.0,250.0,77.334,38.872,8.756,70.617,48.979,30.367,18.612,30.003,87.997,19.466,68.531,5.393,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:25.317,24.469,25.815,18.347,2.985,250.0,250.0,73.956,21.898,8.755,68.605,47.757,29.613,18.144,29.248,5.818,0.596,5.222,5.222,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:26.315,23.110,25.116,17.688,3.034,250.0,250.0,77.767,22.289,8.745,70.002,48.610,30.136,18.474,29.771,5.921,0.613,5.308,5.308,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:27.312,23.110,28.592,21.075,3.045,250.0,250.0,76.749,19.726,8.747,60.279,42.651,26.453,16.198,26.137,5.797,0.591,5.206,5.206,0.000,0.000,0.000,2.000,31.0,
17.11.2025,12:42:28.310,16.313,26.055,18.657,3.003,250.0,250.0,74.191,21.869,8.795,68.369,47.632,29.533,18.099,29.180,5.894,0.603,5.291,5.291,0.001,0.000,0.000,0.000,31.0,
17.11.2025,12:42:29.318,21.750,26.049,18.591,3.005,250.0,250.0,75.947,37.315,8.818,67.117,46.875,29.064,17.811,28.724,56.798,21.203,35.595,61.149,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:30.315,23.110,28.272,20.811,3.040,250.0,250.0,74.865,22.052,8.768,69.164,48.111,29.832,18.279,29.467,5.832,0.601,5.231,5.231,0.000,0.000,0.000,1.250,31.0,
17.11.2025,12:42:31.313,29.907,27.828,20.401,2.981,250.0,250.0,77.402,42.307,8.753,67.483,47.059,29.184,17.875,28.832,109.338,32.510,76.828,5.206,0.001,0.000,0.000,0.000,31.0,
17.11.2025,12:42:32.308,23.110,28.340,20.880,3.038,250.0,250.0,73.685,21.795,8.767,68.197,47.501,29.447,18.054,29.094,5.831,0.600,5.231,5.231,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:33.317,21.750,27.867,20.379,3.042,250.0,250.0,77.191,38.030,8.771,71.710,49.700,30.817,18.883,30.440,82.233,17.500,64.733,5.511,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:34.316,25.829,25.860,18.376,3.068,250.0,250.0,73.934,22.021,8.770,69.077,48.049,29.790,18.259,29.437,5.809,0.595,5.214,5.214,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:35.317,21.750,26.282,18.824,3.006,250.0,250.0,77.335,21.868,8.789,68.411,47.644,29.542,18.102,29.189,5.863,0.597,5.266,5.274,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:36.315,21.750,25.554,18.039,3.046,250.0,250.0,77.268,68.267,8.815,75.036,51.750,32.088,19.662,31.699,67.704,25.354,42.350,328.210,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:37.304,23.110,26.726,19.273,3.015,250.0,250.0,74.340,21.793,8.802,68.138,47.479,29.448,18.031,29.096,5.844,0.596,5.248,5.248,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:38.306,23.110,27.708,20.303,3.023,250.0,250.0,77.123,27.802,8.794,53.401,38.429,23.830,14.599,23.550,5.834,0.628,5.206,103.744,0.000,0.000,0.000,0.000,31.0,
