Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
16.11.2025,18:1:25.137,13.594,13.952,4.765,3.026,0.000,250.0,250.0,13.822,5.033,3.124,10.303,8.326,5.170,3.156,5.109,5.227,0.539,4.688,4.688,0.000,0.000,0.000,17.0,
16.11.2025,18:1:26.146,17.672,15.222,5.987,3.029,0.000,250.0,250.0,14.342,6.251,3.369,14.613,11.142,6.909,4.233,6.835,5.351,0.609,4.742,4.705,0.000,0.000,0.000,17.0,
16.11.2025,18:1:27.140,12.235,17.452,8.164,3.099,0.000,250.0,250.0,19.619,5.839,3.333,13.080,10.179,6.311,3.868,6.237,5.340,0.614,4.726,4.705,0.000,0.000,0.000,17.0,
16.11.2025,18:1:28.147,24.469,12.177,2.986,2.994,0.000,250.0,250.0,18.332,5.899,3.296,13.386,10.347,6.419,3.928,6.333,5.294,0.596,4.698,4.696,0.000,0.000,0.000,17.0,
16.11.2025,18:1:29.142,14.953,13.195,3.946,3.016,0.000,250.0,250.0,17.450,5.936,3.149,13.672,10.439,6.472,3.967,6.386,5.291,0.601,4.690,4.696,0.000,0.000,0.000,17.0,
16.11.2025,18:1:30.145,14.953,11.805,2.666,2.989,0.000,250.0,250.0,15.051,5.205,3.052,10.985,8.711,5.406,3.305,5.333,5.286,0.605,4.681,4.688,0.000,0.000,0.000,17.0,
16.11.2025,18:1:31.145,16.313,29.210,19.834,3.205,0.000,250.0,250.0,14.641,6.093,3.431,13.961,10.792,6.692,4.100,6.606,5.324,0.619,4.705,4.696,0.000,0.000,0.000,17.0,
16.11.2025,18:1:32.137,29.907,33.830,24.139,3.431,0.000,250.0,250.0,18.260,6.623,3.430,15.945,12.012,7.447,4.565,7.361,5.377,0.636,4.741,4.714,0.000,0.000,0.000,17.0,
16.11.2025,18:1:33.135,25.829,31.431,23.166,3.442,0.000,250.0,250.0,40.070,24.291,9.195,74.160,51.691,32.052,19.639,31.660,8.418,0.821,7.597,7.674,0.000,0.000,0.000,17.0,
16.11.2025,18:1:34.134,28.547,29.557,21.700,3.396,0.000,250.0,250.0,78.098,21.062,9.234,61.772,44.039,27.307,16.732,26.988,8.440,0.756,7.684,7.665,0.000,0.000,0.000,17.0,
16.11.2025,18:1:35.139,28.547,27.370,19.711,3.229,0.000,250.0,250.0,72.695,20.610,9.126,60.213,43.004,26.666,16.338,26.347,8.379,0.735,7.644,7.644,0.000,0.000,0.000,17.0,
16.11.2025,18:1:36.141,21.750,24.327,16.663,3.276,0.000,250.0,250.0,70.613,21.153,9.074,62.292,44.257,27.452,16.805,27.121,8.443,0.798,7.645,7.644,0.000,0.000,0.000,17.0,
16.11.2025,18:1:37.144,28.547,27.390,19.784,3.160,0.000,250.0,250.0,69.914,20.593,9.041,60.200,42.944,26.630,16.314,26.311,8.409,0.735,7.674,7.674,0.000,0.000,0.000,17.0,
16.11.2025,18:1:38.133,25.829,29.011,21.170,3.415,0.000,250.0,250.0,69.223,20.567,8.966,60.181,42.892,26.591,16.301,26.272,8.400,0.735,7.665,7.665,0.000,0.000,0.000,17.0,
16.11.2025,18:1:39.140,19.032,49.588,40.074,3.691,0.000,250.0,250.0,66.730,9.293,4.150,25.448,18.354,11.385,6.969,11.250,5.310,0.554,4.756,4.756,0.002,0.000,0.000,17.0,
16.11.2025,18:1:40.150,27.188,81.323,70.614,3.886,0.000,250.0,250.0,28.899,5.457,3.467,11.512,9.295,5.771,3.524,5.697,5.281,0.542,4.739,4.739,0.000,0.000,0.000,17.0,
16.11.2025,18:1:41.149,27.188,30.227,20.749,3.169,0.000,250.0,250.0,15.680,5.167,3.125,10.777,8.628,5.346,3.282,5.285,5.257,0.543,4.714,4.714,0.000,0.000,0.000,17.0,
16.11.2025,18:1:42.161,39.422,26.493,17.347,3.401,0.000,250.0,250.0,18.534,29.089,9.058,86.459,59.244,36.729,22.515,36.287,13.876,1.032,12.844,12.844,0.000,0.000,0.000,17.0,
16.11.2025,18:1:43.156,38.063,33.928,25.855,3.503,0.000,250.0,250.0,134.712,162.632,9.572,443.313,279.269,173.163,106.106,171.072,138.825,22.079,116.746,166.170,0.000,0.000,0.000,17.0,
16.11.2025,18:1:44.148,38.063,29.747,21.794,3.450,0.000,250.0,250.0,251.052,44.838,9.229,141.605,93.400,57.910,35.490,57.212,19.533,3.199,16.334,14.470,0.000,0.000,0.000,17.0,
16.11.2025,18:1:45.167,25.829,31.720,23.840,3.358,0.000,250.0,250.0,231.655,69.456,9.146,164.013,107.276,66.518,40.758,65.710,113.741,6.208,107.533,13.657,0.000,0.375,0.000,17.0,
16.11.2025,18:1:46.177,27.188,32.649,24.877,3.333,0.000,250.0,250.0,178.410,67.186,9.100,151.740,99.603,61.756,37.847,61.010,53.561,2.931,50.630,143.677,0.000,0.000,0.000,17.0,
16.11.2025,18:1:47.179,32.625,33.646,25.902,3.296,0.000,250.0,250.0,157.822,43.169,9.116,136.432,90.259,55.967,34.292,55.293,20.981,3.194,17.787,8.373,0.000,0.000,0.000,17.0,
16.11.2025,18:1:48.182,27.188,27.748,20.030,3.302,0.000,250.0,250.0,165.720,77.814,9.180,164.342,107.590,66.719,40.871,65.910,103.621,6.314,97.307,116.282,0.000,0.000,0.000,17.0,
16.11.2025,18:1:49.189,28.547,31.688,23.928,3.303,0.000,250.0,250.0,155.583,76.916,9.280,175.128,114.291,70.870,43.421,70.013,88.513,5.735,82.778,109.131,0.000,0.000,0.000,17.0,
16.11.2025,18:1:50.191,21.750,30.791,22.981,3.322,0.000,250.0,250.0,146.662,39.135,9.174,119.072,79.539,49.315,30.224,48.727,23.030,2.591,20.439,9.243,0.000,0.000,0.000,17.0,
16.11.2025,18:1:51.182,27.188,31.619,23.949,3.282,0.000,250.0,250.0,135.922,40.130,11.855,119.961,81.750,50.696,31.054,50.083,22.864,2.540,20.324,10.175,0.001,0.000,0.000,17.0,
16.11.2025,18:1:52.189,25.829,31.001,23.250,3.294,0.000,250.0,250.0,134.512,38.640,12.039,116.620,79.790,49.483,30.307,48.882,18.072,2.554,15.518,13.138,0.000,0.000,0.000,17.0,
16.11.2025,18:1:53.196,23.110,27.450,19.751,3.297,0.000,250.0,250.0,131.875,155.876,12.090,292.966,187.429,116.220,71.209,114.819,374.224,80.405,293.819,15.578,0.000,0.000,0.000,17.0,
16.11.2025,18:1:54.183,27.188,24.929,16.886,3.560,0.000,250.0,250.0,138.399,29.785,12.123,86.126,60.935,37.782,23.153,37.328,13.811,1.027,12.784,12.784,0.000,0.000,0.000,17.0,
16.11.2025,18:1:55.193,28.547,28.281,20.683,3.200,0.000,250.0,250.0,74.459,14.546,11.992,36.563,30.123,18.679,11.444,18.446,6.303,0.569,5.734,5.610,0.000,0.000,0.250,17.0,
16.11.2025,18:1:56.192,38.063,27.563,19.315,3.447,0.000,250.0,250.0,47.692,9.722,7.646,23.186,19.122,11.861,7.261,11.713,5.736,0.611,5.125,4.960,0.002,0.000,0.000,17.0,
16.11.2025,18:1:57.184,25.829,25.883,17.429,3.510,0.000,250.0,250.0,93.116,22.131,14.114,60.618,46.350,28.742,17.608,28.399,8.751,0.766,7.985,7.975,0.000,0.000,0.000,17.0,
16.11.2025,18:1:58.189,118.267,146.754,137.677,4.294,0.000,250.0,250.0,266.912,218.039,15.041,276.485,179.613,111.375,68.238,110.031,407.877,138.157,269.720,603.856,0.000,0.000,2.500,17.0,
16.11.2025,18:1:59.182,112.830,175.689,166.400,4.431,0.000,250.0,250.0,280.578,98.433,14.010,345.686,221.627,137.420,84.207,135.763,15.611,1.208,14.403,14.400,0.000,0.000,0.000,17.0,
16.11.2025,18:2:0.186,118.267,166.792,157.417,4.417,0.000,250.0,250.0,289.736,71.714,12.786,243.740,157.808,97.854,59.954,96.667,17.189,1.337,15.852,13.950,0.000,0.250,0.000,17.0,
16.11.2025,18:2:1.187,114.189,187.663,178.375,4.440,0.000,250.0,250.0,285.809,142.675,11.801,192.711,126.070,78.180,47.890,77.232,367.260,171.202,196.058,158.345,0.000,1.875,1.750,17.0,
16.11.2025,18:2:2.192,111.470,187.672,178.391,4.432,0.000,250.0,250.0,286.876,130.739,12.339,347.812,221.837,137.558,84.279,135.902,176.145,44.465,131.680,15.377,0.000,0.500,0.000,17.0,
16.11.2025,18:2:3.182,116.908,183.589,174.264,4.437,0.000,250.0,250.0,283.055,133.968,12.678,349.062,222.868,138.195,84.673,136.527,190.681,47.763,142.918,14.317,0.000,1.500,0.000,17.0,
16.11.2025,18:2:4.188,116.908,180.036,170.786,4.410,0.000,250.0,250.0,298.214,86.169,12.946,299.438,192.241,119.199,73.042,117.760,16.089,1.207,14.882,14.882,0.000,0.000,0.500,17.0,
16.11.2025,18:2:5.190,107.392,173.653,164.377,4.409,0.001,250.0,250.0,287.833,173.546,13.158,192.255,126.622,78.520,48.102,77.572,368.171,168.303,199.868,462.892,0.000,0.375,2.750,17.0,
16.11.2025,18:2:6.184,73.407,170.429,161.395,4.250,0.000,250.0,250.0,240.551,30.571,13.173,87.364,62.349,38.670,23.679,38.204,14.446,1.072,13.374,13.374,0.000,0.875,0.500,17.0,
16.11.2025,18:2:7.181,103.314,69.330,61.248,3.580,0.000,250.0,250.0,99.838,30.758,12.917,88.606,62.961,39.037,23.924,38.571,14.207,1.057,13.150,13.150,0.000,0.000,1.250,17.0,
16.11.2025,18:2:8.182,24.469,77.461,69.254,3.589,0.000,250.0,250.0,63.833,13.635,12.172,33.391,28.264,17.527,10.737,17.318,5.840,0.577,5.263,5.263,0.000,0.000,0.000,17.0,
16.11.2025,18:2:9.191,106.033,38.860,31.017,3.353,0.001,250.0,250.0,49.522,244.969,12.222,442.099,280.482,173.920,106.562,171.819,389.326,149.984,239.342,483.936,0.000,0.000,0.000,17.0,
16.11.2025,18:2:10.180,106.033,121.958,113.014,4.140,0.000,250.0,250.0,317.665,30.571,12.207,88.130,62.232,38.595,23.637,38.129,14.656,1.141,13.515,13.469,0.000,0.000,2.500,19.0,
16.11.2025,18:2:11.182,114.189,164.491,155.105,4.482,0.000,250.0,250.0,330.003,79.130,12.874,271.941,175.228,108.655,66.573,107.348,16.640,1.240,15.400,15.400,0.000,1.250,2.625,19.0,
16.11.2025,18:2:12.186,110.111,183.390,174.107,4.435,0.000,250.0,250.0,287.440,82.498,13.296,284.026,182.928,113.435,69.493,112.069,17.680,1.360,16.320,14.376,0.000,0.875,0.000,19.0,
16.11.2025,18:2:13.193,118.267,155.886,146.613,4.459,0.000,250.0,250.0,287.527,233.683,12.424,344.546,219.863,136.336,83.527,134.694,435.197,126.488,308.709,535.050,0.000,1.500,0.000,19.0,
16.11.2025,18:2:14.188,114.189,177.500,168.109,4.477,0.000,250.0,250.0,295.208,97.653,12.497,344.562,219.852,136.321,83.531,134.679,15.413,1.155,14.258,14.258,0.000,1.750,1.375,30.0,
