Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
11.11.2025,14:44:45.611,17.672,12.586,3.689,2.733,250.0,250.0,12.936,4.215,3.383,7.698,6.869,4.264,2.605,4.214,4.530,0.471,4.059,4.059,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:44:46.605,25.829,16.670,7.981,2.863,250.0,250.0,42.495,19.687,9.205,57.894,41.614,25.808,15.806,25.501,7.227,0.637,6.590,6.590,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:44:47.603,21.750,23.823,16.544,2.842,250.0,250.0,67.203,19.461,9.277,56.917,41.059,25.463,15.596,25.156,7.261,0.640,6.621,6.621,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:44:48.604,31.266,29.720,22.139,3.166,250.0,250.0,67.628,23.178,9.424,66.791,47.266,29.305,17.961,28.961,12.724,6.053,6.671,6.621,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:44:49.616,31.266,27.673,19.962,3.199,250.0,250.0,83.291,26.759,9.245,80.131,55.435,34.372,21.063,33.955,11.413,0.855,10.558,10.558,0.000,0.000,0.000,0.500,9.0,
11.11.2025,14:44:50.614,24.469,27.691,20.121,3.141,250.0,250.0,100.874,53.118,9.308,94.863,64.462,39.969,24.493,39.480,29.549,6.390,23.159,199.505,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:44:51.604,103.314,25.798,18.142,3.183,250.0,250.0,112.484,117.026,9.587,286.849,182.063,112.896,69.167,111.528,192.921,56.900,136.021,12.324,0.000,0.000,0.000,0.000,9.0,
11.11.2025,14:44:52.611,101.955,79.924,71.722,3.598,250.0,250.0,271.601,150.683,9.606,293.802,186.330,115.546,70.784,114.154,202.801,58.455,144.346,311.008,0.000,0.000,0.500,0.375,9.0,
11.11.2025,14:44:53.601,74.767,105.810,97.230,3.842,250.0,250.0,306.297,101.665,9.587,278.545,176.994,109.754,67.240,108.422,126.648,35.252,91.396,12.808,0.000,0.000,0.500,0.000,9.0,
11.11.2025,14:44:54.610,112.830,102.378,93.832,3.874,250.0,250.0,302.587,127.187,9.765,298.707,189.556,117.539,72.017,116.122,227.479,65.565,161.913,13.209,0.000,0.000,0.000,1.000,9.0,
