Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
6.11.2025,18:16:43.827,19.032,27.384,20.452,3.003,250.0,250.0,71.165,20.308,8.738,64.303,45.116,27.972,17.144,27.643,4.224,0.493,3.731,3.720,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:44.826,17.672,29.002,21.958,3.100,250.0,250.0,68.336,14.192,8.732,40.820,30.702,19.033,11.669,18.800,4.250,0.437,3.813,3.669,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:45.833,17.672,28.357,21.316,3.100,250.0,250.0,70.909,20.574,8.729,65.435,45.820,28.404,17.416,28.062,4.101,0.424,3.677,3.677,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:46.841,24.469,27.771,20.660,3.113,250.0,250.0,67.742,20.455,8.780,64.929,45.535,28.238,17.297,27.897,4.099,0.422,3.677,3.677,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:47.835,19.032,34.458,26.909,3.559,250.0,250.0,66.746,16.598,8.742,50.179,36.445,22.595,13.850,22.326,4.089,0.420,3.669,3.669,0.000,0.000,0.000,0.000,57.0,
6.11.2025,18:16:48.830,17.672,33.152,25.880,3.271,250.0,250.0,71.521,20.735,8.766,65.952,46.164,28.625,17.539,28.271,4.158,0.438,3.720,3.720,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:49.842,31.266,28.401,21.327,3.086,250.0,250.0,67.930,17.403,8.732,53.218,38.316,23.756,14.560,23.475,4.150,0.472,3.678,3.677,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:50.837,33.985,27.876,20.940,3.020,250.0,250.0,71.086,20.716,8.779,65.838,46.095,28.584,17.511,28.230,4.201,0.480,3.721,3.720,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:51.829,16.313,29.741,22.634,3.139,250.0,250.0,68.630,11.986,8.723,32.265,25.427,15.763,9.664,15.580,4.327,0.487,3.840,3.788,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:52.826,24.469,28.835,21.710,3.165,250.0,250.0,71.064,21.189,8.743,67.263,46.954,29.112,17.842,28.758,4.754,0.865,3.889,3.711,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:53.828,17.672,26.375,19.397,3.048,250.0,250.0,67.026,11.542,8.727,30.610,24.391,15.122,9.269,14.951,4.274,0.469,3.805,3.804,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:54.841,20.391,27.052,20.065,3.048,250.0,250.0,69.428,20.383,8.795,64.595,45.343,28.114,17.229,27.784,4.127,0.425,3.702,3.711,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:55.836,10.875,25.661,18.800,2.957,250.0,250.0,67.527,20.982,8.777,63.913,44.901,27.841,17.060,27.512,8.012,1.267,6.745,3.797,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:56.835,19.032,27.095,20.160,2.991,250.0,250.0,66.423,20.096,8.779,63.435,44.608,27.665,16.943,27.335,4.241,0.437,3.804,3.711,0.000,0.000,1.125,0.000,10.0,
