Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
16.11.2025,17:54:21.843,27.188,28.240,20.272,3.478,0.000,250.0,250.0,100.140,30.024,14.736,84.750,61.701,38.261,23.440,37.796,13.523,1.009,12.514,12.514,0.000,0.000,0.000,28.0,
16.11.2025,17:54:22.842,25.829,29.520,21.624,3.483,0.000,250.0,250.0,69.796,14.201,14.025,34.169,29.895,18.538,11.357,18.305,5.429,0.555,4.874,4.866,0.000,0.000,0.000,28.0,
16.11.2025,17:54:23.845,111.470,78.791,69.517,3.835,0.000,250.0,250.0,107.965,114.287,13.587,383.299,244.599,151.675,92.924,149.839,46.089,10.191,35.899,14.764,0.000,2.125,2.625,28.0,
16.11.2025,17:54:24.849,106.033,177.320,167.811,4.560,0.000,250.0,250.0,320.595,135.406,12.133,177.548,116.884,72.486,44.398,71.610,212.029,97.139,114.891,434.947,0.000,0.000,0.000,28.0,
16.11.2025,17:54:25.841,115.549,177.544,167.968,4.523,0.000,250.0,250.0,278.503,179.200,12.260,347.598,221.611,137.416,84.195,135.761,418.908,116.629,302.279,15.344,0.000,1.375,2.375,28.0,
16.11.2025,17:54:26.848,107.392,172.563,162.926,4.564,0.000,250.0,250.0,287.968,97.111,12.544,341.957,218.387,135.423,82.964,133.791,15.788,1.222,14.567,14.470,0.000,2.500,0.000,28.0,
16.11.2025,17:54:27.840,116.908,189.638,180.132,4.503,0.000,250.0,250.0,284.956,73.762,12.828,252.750,163.427,101.345,62.082,100.122,15.605,1.280,14.325,13.857,0.000,1.375,1.750,28.0,
16.11.2025,17:54:28.845,112.830,178.412,168.918,4.479,0.000,250.0,250.0,285.996,133.563,13.094,181.091,119.675,74.203,45.472,73.304,326.907,149.050,177.857,174.981,0.000,1.125,0.000,28.0,
16.11.2025,17:54:29.846,110.111,175.112,165.564,4.497,0.000,250.0,250.0,281.635,175.049,13.473,344.902,220.740,136.882,83.858,135.227,399.710,109.190,290.520,15.986,0.000,2.500,0.875,9.0,
16.11.2025,17:54:30.847,114.189,174.730,165.250,4.484,0.000,250.0,250.0,289.676,89.187,13.484,309.703,199.010,123.405,75.605,121.905,17.297,1.330,15.967,14.164,0.000,0.375,2.000,9.0,
16.11.2025,17:54:31.836,59.813,182.599,173.105,4.454,0.000,250.0,250.0,286.021,95.110,12.863,188.319,123.784,76.754,47.030,75.833,24.135,8.677,15.458,378.244,0.000,0.375,2.125,9.0,
