Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
17.11.2025,9:5:23.311,14.953,28.402,20.696,3.288,250.0,250.0,66.072,92.069,12.315,240.716,156.172,96.839,59.333,95.664,120.584,13.776,106.808,18.482,0.000,0.000,0.000,0.375,30.0,
17.11.2025,9:5:24.309,24.469,28.111,20.541,3.139,250.0,250.0,246.022,36.606,12.731,111.162,76.842,47.640,29.202,47.065,14.967,1.435,13.532,11.489,0.000,0.000,0.000,0.750,30.0,
17.11.2025,9:5:25.304,23.110,33.349,25.141,3.643,250.0,250.0,251.087,29.140,13.060,83.817,60.086,37.253,22.833,36.801,12.912,1.032,11.880,11.725,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:26.311,12.235,29.433,21.313,3.638,250.0,250.0,95.573,28.043,12.448,81.244,58.116,36.040,22.076,35.600,11.934,0.893,11.041,11.041,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:27.306,16.313,25.782,17.493,3.763,250.0,250.0,81.018,12.654,11.789,31.020,26.555,16.463,10.092,16.268,4.947,0.493,4.454,4.454,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:28.310,23.110,27.098,19.287,3.323,250.0,250.0,41.772,9.334,6.517,23.858,18.845,11.691,7.154,11.545,4.740,0.485,4.255,4.246,0.000,0.002,0.000,0.000,30.0,
17.11.2025,9:5:29.312,17.672,30.185,20.463,3.160,250.0,250.0,28.043,5.079,5.959,8.211,8.802,5.457,3.345,5.383,4.707,0.486,4.221,4.221,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:30.311,25.829,30.654,20.874,3.347,250.0,250.0,15.604,5.036,6.056,7.990,8.716,5.408,3.308,5.346,4.670,0.484,4.186,4.195,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:31.311,23.110,28.369,18.730,3.389,250.0,250.0,15.481,15.816,12.997,41.285,33.670,20.876,12.794,20.632,4.987,0.512,4.475,5.933,0.000,0.000,0.375,0.000,30.0,
17.11.2025,9:5:32.304,16.313,27.944,19.875,3.258,250.0,250.0,64.007,16.425,13.805,41.768,34.471,21.366,13.105,21.109,6.373,0.488,5.885,5.885,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:33.309,21.750,28.874,21.281,3.209,250.0,250.0,55.481,13.053,14.567,30.065,27.679,17.168,10.511,16.961,4.693,0.481,4.212,4.195,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:34.311,19.032,27.600,19.931,3.223,250.0,250.0,44.708,12.491,13.425,29.074,26.366,16.349,10.017,16.154,4.675,0.480,4.195,4.178,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:35.311,19.032,28.703,21.130,3.198,250.0,250.0,43.347,12.285,12.576,29.160,25.886,16.049,9.837,15.853,4.655,0.477,4.178,4.178,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:36.312,21.750,31.708,23.534,3.193,250.0,250.0,40.500,5.004,5.624,8.347,8.668,5.372,3.296,5.311,4.641,0.480,4.161,4.144,0.000,0.002,0.000,0.125,30.0,
17.11.2025,9:5:37.305,13.594,29.308,19.556,3.189,250.0,250.0,22.927,5.273,5.763,9.255,9.320,5.778,3.542,5.704,4.615,0.479,4.136,4.136,0.000,0.000,0.000,0.375,30.0,
17.11.2025,9:5:38.303,29.907,30.591,20.962,3.187,250.0,250.0,17.189,5.084,5.988,8.335,8.888,5.506,3.382,5.445,4.586,0.476,4.110,4.119,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:39.305,40.782,30.419,21.101,3.171,250.0,250.0,15.910,5.599,6.421,9.878,10.108,6.275,3.833,6.202,4.580,0.478,4.102,4.110,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:40.308,17.672,29.702,20.306,3.197,250.0,250.0,16.582,6.000,6.674,11.176,11.069,6.871,4.198,6.786,4.567,0.473,4.094,4.094,0.000,0.000,0.000,0.000,30.0,
17.11.2025,9:5:41.304,107.392,32.440,23.100,3.155,250.0,250.0,16.658,43.492,7.556,94.113,62.936,39.030,23.906,38.555,60.687,10.323,50.364,47.453,0.000,0.000,1.875,0.000,30.0,
17.11.2025,9:5:42.311,101.955,94.031,84.532,3.786,250.0,250.0,205.041,211.131,13.135,324.018,208.091,129.035,79.056,127.474,157.468,49.065,108.403,915.567,0.001,0.000,0.500,0.000,9.0,
17.11.2025,9:5:43.305,108.752,174.994,165.570,4.488,250.0,250.0,361.038,142.449,12.635,368.470,235.296,145.903,89.393,144.150,192.078,46.320,145.759,44.491,0.000,0.000,2.375,2.500,9.0,
17.11.2025,9:5:44.311,118.267,170.075,160.711,4.495,250.0,250.0,365.170,153.283,12.229,339.950,217.424,134.818,82.606,133.185,299.508,67.362,232.147,13.598,0.000,0.000,0.000,2.250,9.0,
17.11.2025,9:5:45.307,112.830,160.559,151.125,4.489,250.0,250.0,369.148,173.483,12.177,377.521,240.706,149.262,91.444,147.461,223.550,61.017,162.533,269.157,0.000,0.000,2.125,0.000,9.0,
17.11.2025,9:5:46.313,106.033,168.452,159.026,4.458,250.0,250.0,343.505,124.186,12.660,298.053,191.763,118.910,72.853,117.469,208.236,38.970,169.266,13.681,0.000,0.000,1.125,2.500,9.0,
17.11.2025,9:5:47.304,111.470,162.001,152.731,4.391,250.0,250.0,320.970,96.678,13.053,288.088,185.768,115.190,70.578,113.811,79.297,21.362,57.935,21.695,0.000,0.000,0.000,1.125,9.0,
17.11.2025,9:5:48.311,116.908,170.347,161.074,4.411,250.0,250.0,324.901,148.855,13.003,328.220,210.633,130.610,80.023,129.037,289.109,70.826,218.283,18.806,0.000,0.000,2.125,1.125,9.0,
17.11.2025,9:5:49.310,99.236,164.196,154.847,4.437,250.0,250.0,325.482,102.062,12.407,295.786,190.188,117.929,72.259,116.513,101.079,20.854,80.225,13.374,0.000,0.000,0.625,2.625,9.0,
17.11.2025,9:5:50.311,99.236,164.196,154.847,4.437,250.0,250.0,321.847,28.401,11.645,82.751,58.547,36.300,22.247,35.861,12.546,0.974,11.572,11.572,0.000,0.000,2.000,1.625,9.0,
17.11.2025,9:5:51.309,89.720,170.291,161.023,4.389,250.0,250.0,94.947,28.056,11.838,81.634,57.979,35.946,22.033,35.518,12.173,0.908,11.265,11.265,0.000,0.000,0.000,0.000,9.0,
17.11.2025,9:5:52.307,24.469,139.045,130.324,4.039,250.0,250.0,79.282,12.800,11.903,31.560,26.957,16.718,10.239,16.511,4.875,0.510,4.365,4.365,0.000,0.000,0.750,0.000,9.0,
17.11.2025,9:5:53.304,20.391,30.148,22.396,3.258,250.0,250.0,42.883,30.168,12.137,72.825,52.670,32.664,20.006,32.273,10.156,1.049,9.107,58.790,0.000,0.000,0.000,0.000,9.0,
