Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
17.11.2025,19:41:49.145,5.438,21.893,12.612,3.128,250.0,250.0,13.545,4.242,3.050,8.552,7.204,4.467,2.737,4.406,4.142,0.431,3.711,3.720,0.000,0.000,0.000,0.000,
17.11.2025,19:41:50.140,4.078,15.975,6.760,3.013,250.0,250.0,19.261,3.774,2.977,6.834,6.090,3.782,2.308,3.733,4.151,0.431,3.720,3.720,0.000,0.000,0.000,0.000,
17.11.2025,19:41:51.143,27.188,36.547,26.938,3.304,250.0,250.0,16.945,3.855,3.098,7.029,6.287,3.905,2.382,3.856,4.142,0.431,3.711,3.711,0.000,0.000,0.000,0.000,
17.11.2025,19:41:52.132,21.750,34.458,25.219,3.369,250.0,250.0,13.786,18.875,8.887,55.832,40.153,24.896,15.257,24.589,6.568,0.619,5.949,5.999,0.000,0.000,0.375,0.000,
17.11.2025,19:41:53.140,21.750,26.360,18.590,3.348,250.0,250.0,72.000,19.687,8.907,58.870,41.993,26.036,15.957,25.718,6.667,0.588,6.079,6.059,0.000,0.000,0.000,0.000,
17.11.2025,19:41:54.146,16.313,24.081,16.439,3.146,250.0,250.0,69.701,19.674,8.883,58.846,41.951,26.008,15.943,25.702,6.680,0.591,6.089,6.049,0.000,0.000,0.000,0.000,
17.11.2025,19:41:55.139,21.750,25.361,17.766,3.153,250.0,250.0,67.848,19.837,8.884,59.435,42.321,26.242,16.079,25.924,6.703,0.594,6.109,6.079,0.000,0.000,0.000,0.000,
17.11.2025,19:41:56.132,16.313,24.345,16.811,3.129,250.0,250.0,68.304,19.162,8.860,56.776,40.712,25.249,15.463,24.943,6.764,0.675,6.089,6.089,0.000,0.000,0.000,0.000,
17.11.2025,19:41:57.146,19.032,25.228,17.686,3.113,250.0,250.0,67.915,19.838,8.883,59.457,42.329,26.252,16.077,25.933,6.681,0.592,6.089,6.089,0.000,0.000,0.000,0.000,
17.11.2025,19:41:58.143,28.547,25.585,18.113,3.019,250.0,250.0,67.192,20.040,8.885,60.147,42.760,26.511,16.249,26.192,6.776,0.677,6.099,6.099,0.000,0.000,0.000,0.000,
