Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
19.11.2025,19:6:18.269,33.985,28.691,20.909,3.298,250.0,250.0,72.788,24.108,8.824,66.678,46.621,28.904,17.717,28.551,19.666,2.696,16.970,4.450,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:19.267,23.110,27.035,19.392,3.148,250.0,250.0,71.400,20.941,8.856,65.887,46.127,28.605,17.522,28.265,4.884,0.502,4.382,4.382,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:20.265,28.547,26.904,19.324,3.147,250.0,250.0,74.803,29.714,8.820,67.612,47.172,29.249,17.923,28.897,46.503,6.052,40.451,4.459,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:21.267,17.672,29.060,21.439,3.157,250.0,250.0,72.012,20.680,8.785,64.936,45.500,28.219,17.281,27.879,4.900,0.501,4.399,4.399,0.000,0.000,2.250,0.000,20.0,
19.11.2025,19:6:22.268,29.907,28.673,21.042,3.166,250.0,250.0,74.605,39.786,8.818,66.001,46.163,28.625,17.538,28.273,98.982,25.610,73.372,4.475,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:23.267,23.110,28.993,21.291,3.191,250.0,250.0,71.124,22.371,8.815,65.123,45.615,28.290,17.325,27.950,13.068,1.829,11.239,4.459,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:24.267,24.469,26.563,18.975,3.153,250.0,250.0,74.709,21.054,8.818,66.303,46.355,28.741,17.614,28.401,4.950,0.550,4.400,4.408,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:25.267,21.750,29.063,21.436,3.154,250.0,250.0,71.725,34.822,8.821,65.180,45.671,28.321,17.350,27.968,75.210,15.080,60.130,4.492,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:26.264,21.750,30.079,22.449,3.159,250.0,250.0,71.225,21.443,8.818,67.778,47.269,29.314,17.955,28.961,4.953,0.536,4.417,4.434,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:27.260,21.750,28.774,21.209,3.116,250.0,250.0,73.958,75.275,8.784,65.840,46.031,28.541,17.490,28.201,53.064,19.974,33.090,451.736,0.000,0.000,0.000,0.625,20.0,
19.11.2025,19:6:28.259,25.829,28.774,21.209,3.116,250.0,250.0,70.365,22.502,8.784,65.771,46.016,28.531,17.485,28.191,12.890,1.766,11.124,4.459,0.000,0.000,0.500,0.000,20.0,
19.11.2025,19:6:29.260,29.907,34.776,26.976,3.323,250.0,250.0,73.547,32.523,8.798,72.754,50.353,31.230,19.123,30.853,53.799,7.889,45.910,4.518,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:30.258,19.032,36.723,28.667,3.478,250.0,250.0,73.778,22.313,8.811,71.011,49.269,30.553,18.716,30.189,5.069,0.601,4.468,4.442,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:31.258,27.188,37.377,29.424,3.408,250.0,250.0,75.568,44.721,8.808,66.586,46.526,28.851,17.675,28.498,122.830,34.305,88.525,4.612,0.000,0.000,0.000,0.000,20.0,
