Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]","총 전력 소비 [W]",
12.11.2025,12:49:1.109,50.298,12.139,3.230,2.723,250.0,250.0,10.518,4.071,2.709,8.360,6.863,4.256,2.607,4.207,4.038,0.420,3.618,3.626,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:2.104,17.672,18.079,8.979,2.869,250.0,250.0,11.597,8.503,4.082,23.890,17.348,10.762,6.586,10.627,4.050,0.424,3.626,3.634,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:3.106,12.235,15.903,6.895,2.823,250.0,250.0,16.296,4.212,2.942,8.655,7.199,4.467,2.732,4.406,4.046,0.420,3.626,3.626,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:4.102,20.391,13.197,4.260,2.750,250.0,250.0,11.200,7.710,3.749,21.192,15.449,9.579,5.870,9.469,4.079,0.453,3.626,3.634,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:5.106,28.547,28.296,19.071,2.971,250.0,250.0,15.987,4.621,2.881,10.289,8.159,5.062,3.097,5.001,4.046,0.420,3.626,3.626,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:6.107,20.391,28.212,18.836,3.152,250.0,250.0,15.034,28.608,8.856,91.831,62.446,38.719,23.727,38.253,6.461,0.573,5.889,9.321,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:7.111,13.594,26.412,18.224,3.252,250.0,250.0,87.043,26.243,8.859,79.970,55.092,34.159,20.933,33.754,10.144,0.764,9.380,9.380,0.000,0.000,0.000,42.0,0.375,
12.11.2025,12:49:8.107,19.032,25.081,17.694,2.972,250.0,250.0,88.470,20.212,8.827,58.244,41.599,25.794,15.805,25.487,10.190,0.763,9.427,5.979,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:9.110,16.313,25.515,18.060,3.028,250.0,250.0,74.180,47.145,8.881,85.101,58.101,36.028,22.073,35.600,109.831,32.093,77.738,6.009,0.000,0.000,0.000,42.0,0.000,
12.11.2025,12:49:10.112,17.672,27.550,19.981,3.122,250.0,250.0,83.905,21.862,8.831,67.333,47.210,29.268,17.942,28.912,6.570,0.581,5.989,5.989,0.000,0.000,0.000,42.0,0.000,
