Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
17.11.2025,19:10:22.191,9.516,15.504,6.422,2.927,250.0,250.0,11.874,4.005,3.329,6.930,6.371,3.953,2.418,3.904,4.539,0.471,4.068,4.068,0.000,0.000,0.000,0.000,
17.11.2025,19:10:23.180,9.516,17.682,8.518,2.917,250.0,250.0,13.026,4.117,3.232,7.458,6.638,4.110,2.528,4.061,4.539,0.471,4.068,4.068,0.000,0.000,0.000,0.000,
17.11.2025,19:10:24.191,13.594,13.207,4.216,2.839,250.0,250.0,13.126,4.470,3.232,8.734,7.422,4.601,2.821,4.552,4.634,0.503,4.131,4.068,0.000,0.000,0.000,0.000,
17.11.2025,19:10:25.188,25.829,26.725,17.568,2.890,250.0,250.0,11.721,6.493,3.560,16.030,12.149,7.527,4.622,7.442,4.760,0.521,4.239,4.077,0.000,0.000,0.000,0.000,
17.11.2025,19:10:26.193,20.391,32.284,22.731,3.256,250.0,250.0,15.757,4.607,3.403,9.163,7.806,4.836,2.970,4.774,4.530,0.471,4.059,4.059,0.000,0.000,0.000,0.000,
17.11.2025,19:10:27.188,21.750,29.920,21.426,3.335,250.0,250.0,30.221,22.440,9.083,68.364,48.037,29.781,18.256,29.425,7.392,0.669,6.723,6.672,0.000,0.000,0.000,0.000,
17.11.2025,19:10:28.193,19.032,29.422,21.720,3.199,250.0,250.0,74.578,19.518,9.026,57.364,41.189,25.542,15.647,25.223,7.284,0.643,6.641,6.621,0.000,0.000,0.000,0.000,
17.11.2025,19:10:29.186,21.750,28.854,21.105,3.258,250.0,250.0,72.732,23.413,8.983,72.348,50.319,31.199,19.120,30.820,7.340,0.649,6.691,6.661,0.000,0.000,0.000,0.000,
17.11.2025,19:10:30.189,24.469,29.669,21.868,3.290,250.0,250.0,75.173,33.792,9.110,72.681,50.617,31.381,19.236,31.002,58.552,13.459,45.093,6.792,0.000,0.000,0.000,0.000,
17.11.2025,19:10:31.184,25.829,27.876,20.241,3.159,250.0,250.0,76.911,24.189,9.018,71.750,49.958,30.975,18.983,30.608,11.939,1.325,10.614,6.721,0.000,0.000,0.000,2.250,
17.11.2025,19:10:32.184,21.750,28.181,20.426,3.244,250.0,250.0,76.915,23.392,9.047,72.119,50.213,31.140,19.073,30.761,7.426,0.655,6.771,6.710,0.001,0.000,0.000,0.000,
