Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
11.11.2025,10:6:27.873,16.313,11.426,2.425,2.843,0.000,250.0,250.0,10.644,3.817,2.808,7.622,6.464,4.014,2.450,3.964,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:28.871,13.594,12.578,3.597,2.873,0.000,250.0,250.0,10.791,3.732,2.661,7.443,6.261,3.883,2.378,3.846,3.746,0.392,3.354,3.354,0.001,0.000,0.000,
11.11.2025,10:6:29.859,12.235,11.348,2.309,2.860,0.000,250.0,250.0,10.923,3.809,2.661,7.727,6.454,3.998,2.456,3.949,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:30.858,13.594,10.988,2.032,2.845,0.000,250.0,250.0,10.893,3.916,2.612,8.196,6.703,4.152,2.551,4.103,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:31.872,10.875,12.280,3.231,2.861,0.000,250.0,250.0,11.034,3.878,2.673,7.980,6.614,4.097,2.517,4.048,3.746,0.392,3.354,3.354,0.001,0.000,0.000,
11.11.2025,10:6:32.869,9.516,11.657,2.624,2.856,0.000,250.0,250.0,11.290,3.712,2.587,7.434,6.219,3.862,2.357,3.813,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:33.870,12.235,11.157,2.178,2.867,0.000,250.0,250.0,10.729,3.771,2.636,7.616,6.359,3.943,2.416,3.894,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:34.862,10.875,11.721,2.705,2.866,0.000,250.0,250.0,10.771,3.750,2.734,7.430,6.315,3.910,2.405,3.861,3.746,0.392,3.354,3.354,0.001,0.000,0.000,
11.11.2025,10:6:35.867,13.594,12.847,3.807,2.876,0.000,250.0,250.0,10.762,3.709,2.612,7.400,6.213,3.858,2.355,3.809,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:36.863,10.875,11.533,2.513,2.871,0.000,250.0,250.0,10.556,3.833,2.612,7.873,6.508,4.030,2.478,3.981,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:37.864,27.188,11.443,2.413,2.900,0.000,250.0,250.0,10.555,3.641,2.489,7.265,6.050,3.758,2.292,3.709,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:38.863,13.594,11.402,2.366,2.881,0.000,250.0,250.0,10.573,3.690,2.526,7.412,6.164,3.821,2.343,3.784,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:39.859,19.032,11.307,2.303,2.864,0.000,250.0,250.0,10.726,3.977,2.562,8.469,6.849,4.250,2.599,4.189,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:40.857,9.516,11.652,2.599,2.883,0.000,250.0,250.0,10.539,3.994,2.624,8.484,6.883,4.272,2.611,4.223,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:41.856,10.875,11.131,2.160,2.866,0.000,250.0,250.0,10.829,4.028,2.759,8.469,6.970,4.322,2.648,4.261,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:42.869,9.516,11.509,2.430,2.872,0.000,250.0,250.0,11.038,4.006,2.734,8.409,6.914,4.289,2.625,4.240,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:43.867,9.516,11.509,2.430,2.872,0.000,250.0,250.0,10.860,3.953,2.526,8.410,6.795,4.205,2.590,4.156,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:44.867,19.032,10.433,1.489,2.866,0.000,250.0,250.0,10.696,3.953,2.661,8.489,6.919,4.292,2.627,4.242,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:45.865,10.875,11.513,2.422,2.896,0.000,250.0,250.0,10.646,4.008,2.636,8.002,6.601,4.089,2.512,4.039,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:46.866,10.875,12.041,3.080,2.884,0.000,250.0,250.0,10.646,3.873,2.636,8.002,6.601,4.089,2.512,4.039,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:47.859,9.516,12.425,3.394,2.865,0.000,250.0,250.0,10.299,3.723,2.587,7.473,6.249,3.870,2.379,3.821,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:48.859,9.516,11.638,2.619,2.870,0.000,250.0,250.0,10.174,3.639,2.599,7.146,6.045,3.755,2.290,3.705,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:49.870,9.516,11.149,2.161,2.888,0.000,250.0,250.0,10.494,3.638,2.599,7.150,6.041,3.753,2.288,3.704,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:50.871,24.469,11.102,2.095,2.905,0.000,250.0,250.0,10.729,3.782,2.881,7.412,6.380,3.953,2.427,3.916,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:51.862,6.797,12.690,3.612,2.889,0.000,250.0,250.0,10.636,3.584,2.661,6.881,5.925,3.671,2.254,3.621,3.738,0.392,3.346,3.354,0.000,0.000,0.000,
11.11.2025,10:6:52.865,12.235,11.162,2.127,2.872,0.000,250.0,250.0,10.473,3.667,2.636,7.210,6.114,3.796,2.318,3.747,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:53.866,9.516,11.148,2.104,2.921,0.000,250.0,250.0,10.548,3.574,2.440,7.053,5.893,3.649,2.244,3.612,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:54.866,8.156,11.651,2.589,2.957,0.000,250.0,250.0,10.318,3.682,2.575,7.342,6.146,3.818,2.328,3.769,3.746,0.392,3.354,3.346,0.000,0.000,0.000,
11.11.2025,10:6:55.864,10.875,11.527,2.434,2.920,0.000,250.0,250.0,10.584,4.206,2.611,9.298,7.389,4.581,2.808,4.520,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:56.860,10.875,13.162,4.105,2.917,0.000,250.0,250.0,10.455,3.991,2.575,8.518,6.880,4.259,2.621,4.210,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:57.871,16.313,11.519,2.463,2.901,0.000,250.0,250.0,10.399,4.082,2.697,8.743,7.092,4.396,2.696,4.347,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:58.864,10.875,12.594,3.539,2.862,0.000,250.0,250.0,10.567,4.138,2.575,9.077,7.230,4.483,2.747,4.421,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:6:59.865,9.516,11.097,2.080,2.917,0.000,250.0,250.0,10.473,4.112,2.660,8.892,7.170,4.447,2.723,4.385,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:0.861,12.235,11.404,2.299,2.937,0.000,250.0,250.0,10.647,3.981,2.624,8.430,6.854,4.253,2.601,4.203,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:1.858,9.516,11.857,2.745,2.902,0.000,250.0,250.0,10.554,3.991,2.624,8.471,6.875,4.263,2.612,4.214,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:2.862,9.516,12.475,3.474,2.855,0.000,250.0,250.0,10.447,3.963,2.550,8.440,6.820,4.230,2.590,4.180,3.738,0.392,3.346,3.346,0.000,0.000,0.000,
11.11.2025,10:7:3.863,12.235,11.507,2.495,2.884,0.000,250.0,250.0,10.552,4.064,2.648,8.716,7.054,4.378,2.676,4.317,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:4.856,9.516,12.401,3.390,2.849,0.000,250.0,250.0,10.560,4.043,2.661,8.604,6.981,4.334,2.647,4.284,3.785,0.429,3.356,3.354,0.001,0.000,0.000,
