Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
20.11.2025,9:52:30.653,33.985,15.179,6.044,2.939,250.0,250.0,12.331,3.849,2.770,7.701,6.503,4.024,2.479,3.975,3.811,0.397,3.414,3.414,0.000,0.000,0.000,0.000,
20.11.2025,9:52:31.649,13.594,16.909,7.762,2.991,250.0,250.0,16.352,5.211,3.199,12.324,9.633,5.976,3.657,5.902,3.992,0.474,3.518,3.431,0.000,0.000,0.000,0.000,
20.11.2025,9:52:32.661,17.672,16.123,6.941,2.993,250.0,250.0,18.113,3.733,3.003,7.014,6.222,3.854,2.368,3.805,3.821,0.399,3.422,3.422,0.000,0.000,0.000,0.000,  
20.11.2025,9:52:33.655,25.829,13.584,4.480,2.895,250.0,250.0,12.651,6.025,3.590,15.168,11.639,7.211,4.428,7.125,3.830,0.399,3.431,3.431,0.000,0.000,0.000,0.000,
20.11.2025,9:52:34.654,66.610,37.840,28.334,3.275,250.0,250.0,18.942,7.173,3.822,19.203,14.290,8.856,5.434,8.746,3.976,0.477,3.499,3.431,0.000,0.000,2.750,2.875,
20.11.2025,9:52:35.661,65.251,58.984,48.002,4.206,250.0,250.0,20.688,3.957,2.966,7.909,6.751,4.186,2.565,4.137,3.818,0.396,3.422,3.422,0.002,0.000,2.875,3.000,
20.11.2025,9:52:36.662,66.610,108.484,95.309,5.469,250.0,250.0,11.478,3.896,3.088,7.554,6.605,4.100,2.505,4.051,3.819,0.397,3.422,3.422,0.000,0.000,2.875,3.000,
20.11.2025,9:52:37.656,61.173,105.578,92.395,5.474,250.0,250.0,11.834,3.849,2.806,7.652,6.496,4.028,2.468,3.978,3.821,0.399,3.422,3.422,0.000,0.000,2.750,3.000,
20.11.2025,9:52:38.648,67.970,99.001,85.791,5.479,250.0,250.0,12.446,6.652,3.528,17.634,13.125,8.145,4.980,8.047,3.819,0.397,3.422,3.422,0.000,0.000,2.875,3.000,
20.11.2025,9:52:39.655,61.173,110.518,97.265,5.483,250.0,250.0,12.268,3.947,2.831,8.007,6.725,4.173,2.552,4.124,3.819,0.397,3.422,3.422,0.000,0.000,2.750,2.875,
20.11.2025,9:52:40.662,69.329,100.345,87.168,5.483,250.0,250.0,12.307,3.946,3.076,7.750,6.729,4.175,2.554,4.113,3.821,0.399,3.422,3.422,0.000,0.000,2.875,2.875,
